gt,ATT_gt,agg_ATT,jackknife_SE,p_value_RI
1991;1991,0.059869261,0.048487265,0.001557634,0.1568627450980392
1991;1992,0.051546109712688366,missing,missing,missing
1991;1993,-0.001328359,missing,missing,missing
1991;1994,0.000697139,missing,missing,missing
1991;1995,0.16021867126845063,missing,missing,missing
1991;1996,0.12028429737703462,missing,missing,missing
1991;1997,0.061044721,missing,missing,missing
1991;1998,0.10521934795738892,missing,missing,missing
1991;1999,-0.064126625,missing,missing,missing
1991;2000,0.052434466,missing,missing,missing
1993;1993,0.025893693073635874,missing,missing,missing
1993;1994,0.050008848,missing,missing,missing
1993;1995,0.005815419,missing,missing,missing
1993;1996,0.046402971,missing,missing,missing
1993;1997,0.035609722,missing,missing,missing
1993;1998,0.080425375,missing,missing,missing
1993;1999,0.066506901,missing,missing,missing
1993;2000,-0.064981664,missing,missing,missing
1996;1996,0.076406756,missing,missing,missing
1996;1997,0.021083502,missing,missing,missing
1996;1998,-0.006038167,missing,missing,missing
1996;1999,0.1064919593068002,missing,missing,missing
1996;2000,0.137473248,missing,missing,missing
1997;1997,0.061762045063515784,missing,missing,missing
1997;1998,0.015989617019749817,missing,missing,missing
1997;1999,0.1078075306085285,missing,missing,missing
1997;2000,0.08986463,missing,missing,missing
1998;1998,0.031984380750194726,missing,missing,missing
1998;1999,0.063321944,missing,missing,missing
1998;2000,-0.00400708,missing,missing,missing
1999;1999,0.054680659,missing,missing,missing
1999;2000,0.019301839314268623,missing,missing,missing
2000;2000,0.032416577,missing,missing,missing
,,,,
,0.036071829,,,
